name,address,show,lat,lng
도량,서울 종로구 자하문로6길 6,먹을텐데,37.5779682393559,126.97250417817
묵호회집,서울 중구 세종대로14길 26,먹을텐데,37.5627497910284,126.978069389944
안동집,서울 동대문구 고산자로36길 3,먹을텐데,37.579393796655545,127.03953845008228
남원통닭,서울 동대문구 홍릉로1길 47,먹을텐데,37.58031723873734,127.04235675982989
원조신촌설렁탕,서울 마포구 마포대로14길 16,먹을텐데,37.5482809161142,126.956269475672
와일드버팔로,서울 강남구 선릉로161길 15,먹을텐데,37.5272207234274,127.039202050002
딸랏,서울 강남구 압구정로50길 22,먹을텐데,37.526877937732,127.03767800713
삼호짱뚱이,서울 강남구 도산대로34길 11,먹을텐데,37.51963671546776,127.03101729816764
오띠젤리,서울 용산구 녹사평대로 168-6,먹을텐데,37.5332454284639,126.9892290909064
야래향,서울 용산구 이촌로65가길 66,먹을텐데,37.5209751672973,126.974701559082
진영면옥,서울 금천구 가산로 22-5,먹을텐데,37.4715508369451,126.900417134374
원조추어탕,서울 동작구 동작대로33가길 4,먹을텐데,37.48963591566612,126.98186293129731
이가네가마솥설렁탕,서울 은평구 진흥로 130,먹을텐데,37.607517959062285,126.9246759628357
미남옥,서울 강남구 언주로153길 12,먹을텐데,37.52294578490738,127.03219063516924
금천문,서울 용산구 한강대로 268,먹을텐데,37.54219879234613,126.97306950776444
진미식당,서울 용산구 백범로90길 46,먹을텐데,37.53667947337237,126.9701829012432
홍탁 목포집,서울 중구 청구로 86-1,먹을텐데,37.5607004681547,127.01277590559566
농부와닭동네,서울 영등포구 여의나루로 113,먹을텐데,37.525999675011725,126.93090429183272
옛날칼국수,서울 노원구 동일로 1417,먹을텐데,37.654972752624296,127.0598238649865
홍명,서울 강남구 논현로131길 10,먹을텐데,37.5145374347634,127.029458772737
이조순대국,서울 용산구 원효로41길 54,먹을텐데,37.53523046179372,126.96030950645424
해남순대국,서울 중구 다산로8길 8,먹을텐데,37.5528620692666,127.009868375983
춘향미엔,서울 성동구 왕십리로21길 26,먹을텐데,37.56046976592757,127.03202115543138
한옥정,서울 동대문구 답십리로 146-4,먹을텐데,37.5725845061263,127.056255515025
함흥면옥,서울 강남구 논현로 826,먹을텐데,37.5222250228676,127.028529660232
우미26,서울 서대문구 통일로 155-1,먹을텐데,37.5679541367558,126.964131631313
남영돈,서울 용산구 한강대로80길 17,먹을텐데,37.5427503629762,126.973775391327
주은감자탕,서울 송파구 삼학사로 71,먹을텐데,37.50368035872125,127.09682641981006
바바라스키친,서울 용산구 대사관로5길 17,먹을텐데,37.53500557319215,127.00053516383872
서부감자국,서울 은평구 서오릉로 8,먹을텐데,37.6022756264112,126.92694839825
영동장어,서울 강남구 언주로148길 8,먹을텐데,37.5203166598331,127.035338774027
대운식당,서울 강남구 역삼로5길 6,먹을텐데,37.4943252963182,127.03245426501148
첼시스하이볼,서울 강남구 도산대로85길 14,먹을텐데,37.5254330026052,127.049188053771
진미평양냉면,서울 강남구 학동로 305-3,먹을텐데,37.5161357904841,127.036047158128
왕스덕,서울 강남구 도산대로 130,먹을텐데,37.5171364587192,127.02302013048006
춘천막국수,서울 중구 다산로10길 6,먹을텐데,37.553462727154525,127.01030699031855
편의방,서울 서대문구 연희로 36,먹을텐데,37.56178534131857,126.9275289650964
강남 진해장,서울 강남구 테헤란로5길 11,먹을텐데,37.499584393000326,127.02930814350844
부자피자,서울 용산구 이태원로55가길 28,먹을텐데,37.5372427587724,126.999823492489
서대문 양꼬치,서울 마포구 동교로 249,먹을텐데,37.5621904976658,126.924194185744
동강나루터,서울 중구 을지로 99,먹을텐데,37.56642917976896,126.98897529681952
이남장,서울 강남구 봉은사로108길 21,먹을텐데,37.5135684607614,127.064450126559
부흥왕족발,서울 강남구 삼성로146길 8,먹을텐데,37.52309327329298,127.04876908841662
신림정,서울 관악구 봉천로 248,먹을텐데,37.4886319915108,126.928863845127
산동교자,서울 중구 남대문로 52-13,먹을텐데,37.56213783919516,126.98240562832072
신촌생우동,서울 마포구 대흥로 38,먹을텐데,37.54410509463979,126.93872591481384
녹동뻘낙지,서울 중구 다산로 159,먹을텐데,37.55802636792576,127.0122186169042
스시스미레,서울 강남구 도산대로55길 18,먹을텐데,37.52464339481312,127.04057179820234
을지칼국수,서울 중구 충무로 54-3,먹을텐데,37.5660348555815,126.99308186543
만포막국수,서울 중구 동호로14길 2,먹을텐데,37.55583009776269,127.0103186337626
영미 오리탕,서울 광진구 동일로60길 53,먹을텐데,37.55767441920997,127.07624489168452
일광쪽갈비,서울 동대문구 전농로 48,먹을텐데,37.56910075976985,127.05729314767052
청실홍실,서울 서초구 서래로10길 9,먹을텐데,37.4995663995735,126.998927916588
코치,서울 성동구 성덕정17길 11,먹을텐데,37.53818493709204,127.05515928911136
넘버원 양꼬치,서울 용산구 우사단로 2,먹을텐데,37.53049332089982,126.9969294986102
시골집,서울 중구 을지로20길 36,먹을텐데,37.5648384452909,126.995386474878
샤오롱바오,서울 광진구 자양번영로 20,먹을텐데,37.53144060671598,127.07534362962758
현대순대국,서울 강남구 강남대로124길 20,먹을텐데,37.5090641197919,127.024235773746
성천막국수,서울 서초구 강남대로 545-12,먹을텐데,37.5104307132493,127.020711852758
서이축산,서울 서초구 서래로 29,먹을텐데,37.49756435388765,126.9981521756046
완도 전복,서울 중구 동호로5길 2,먹을텐데,37.552657345381775,127.01199932388396
영동 설렁탕,서울 서초구 강남대로101안길 24,먹을텐데,37.51615082556445,127.01737204634458
필동면옥,서울 중구 서애로 26,먹을텐데,37.5603983847784,126.99693958989
서린낙지,서울 종로구 종로 19,먹을텐데,37.57059603004882,126.98014084529711
교동짬뽕,서울 강서구 금낭화로24나길 21,먹을텐데,37.57725372854616,126.8157556082578
버거스낵,서울 용산구 녹사평대로46길 13,먹을텐데,37.53731779421355,126.9876218326533
성수 감자탕,서울 성동구 왕십리로14길 28,먹을텐데,37.5483112965625,127.046744061046
중앙시장,서울 중구 퇴계로85길 36,먹을텐데,37.56737408602461,127.01976321851689
로코스 비비큐,서울 용산구 회나무로 83,먹을텐데,37.54098723130472,126.99554069943244
야스노야,서울 용산구 후암로 8-1,먹을텐데,37.5467265098714,126.978409039064
매치스성수,서울 성동구 뚝섬로13길 36,먹을텐데,37.54131814561456,127.05801868486232
김제식당,서울 동대문구 고산자로36길 3,먹을텐데,37.579573094412325,127.03953854489478
뉴오더클럽,서울 마포구 동교로34길 3,또간집,37.5610590758941,126.924552986639
라도집,서울 용산구 독서당로20길 9,또간집,37.5335879468988,127.00913268654
성수부두,서울 성동구 연무장길 41-26,또간집,37.5434219518814,127.054287326288
유야케도쿄,서울 서대문구 이화여대3길 28,또간집,37.55807326279892,126.9441628345876
오복순대국,서울 영등포구 도림로 465,또간집,37.51574102668877,126.89156501552227
떡도리탕,서울 강남구 테헤란로1길 28-9,또간집,37.5005001139566,127.028078078172
토리카미,서울 중구 충무로5길 21,또간집,37.5653283702735,126.991484843776
자코비버거,서울 용산구 신흥로 38,또간집,37.5417975454425,126.987421943293
카미야,서울 마포구 와우산로21길 28-6,또간집,37.552582876796265,126.9223637900431
섬집,서울 용산구 한강대로14길 8,또간집,37.52497665587376,126.96469635999026
더빛남,서울 송파구 오금로18길 5,또간집,37.51026608123815,127.11085769148724
가양칼국수,서울 영등포구 국제금융로 86,또간집,37.5202058489647,126.931799889907
이유식당,서울 중구 퇴계로88길 47,또간집,37.563445654873,127.02028283381
대흥양다리바베큐,서울 광진구 아차산로30길 39,또간집,37.53870567213866,127.06739663259648
담택,서울 마포구 동교로12안길 51,또간집,37.554451999412265,126.91516525478129
대련집,서울 종로구 종로16길 37,또간집,37.56839334531018,126.98891841085968
더 버뮤다,서울 용산구 녹사평대로 168-6,수요미식회,37.5332553510698,126.989357050611
네키드윙즈,서울 용산구 녹사평대로 174-11,수요미식회,37.5338080297208,126.98940867735
더베이커스테이블,서울 용산구 녹사평대로 244-1,수요미식회,37.5394493642832,126.98746714482
지노스뉴욕피자,서울 용산구 녹사평대로40길 46,수요미식회,37.5343987025279,126.988210990583
일키아쏘,서울 용산구 녹사평대로40길 55-7,수요미식회,37.5346547281027,126.988735928836
강가네포차빈대떡,서울 용산구 대사관로30길 15,수요미식회,37.5325868822821,127.005652075368
다운타우너 한남,서울 용산구 대사관로5길 12,수요미식회,37.5348682587621,127.000858862844
부첼리하우스,서울 용산구 독서당로 122-1,수요미식회,37.5368464299047,127.012855222915
라도집,서울 용산구 독서당로20길 9,수요미식회,37.5335976766696,127.009146038285
창수린,서울 용산구 두텁바위로 55,수요미식회,37.5460264791562,126.978166627826
구복만두,서울 용산구 두텁바위로 7,수요미식회,37.545406152402,126.972992424883
헬카페 로스터즈,서울 용산구 보광로 76,수요미식회,37.5303283499074,126.997022615803
쟈니덤플링,서울 용산구 보광로59길 33,수요미식회,37.5338250009562,126.992128689959
금홍,서울 용산구 서빙고로 17,수요미식회,37.5269056148241,126.966566172294
갯마을 한강로점,서울 용산구 서빙고로 56,수요미식회,37.5230375379877,126.970336410953
카사블랑카 샌드위치,서울 용산구 신흥로 35,수요미식회,37.5416434416454,126.987117362678
꼼모아,서울 용산구 신흥로 56,수요미식회,37.5435158711406,126.987700808787
숙이네닭발,서울 용산구 우사단로10길 47,수요미식회,37.5329059577306,126.998168614333
살선생,서울 용산구 우사단로10길 51,수요미식회,37.5327838745273,126.99833380041
강원정,서울 용산구 원효로89길 13-10,수요미식회,37.5404763992384,126.967858631268
동빙고,서울 용산구 이촌로 319,수요미식회,37.5179629692604,126.982326982438
아지겐,서울 용산구 이촌로75길 22,수요미식회,37.5207802377583,126.974503436949
또이또이베트남,서울 용산구 이태원로 136-1,수요미식회,37.5339742297808,126.989029518684
라이너스바베큐,서울 용산구 이태원로 136-13,수요미식회,37.5337893130899,126.989681914601
모터시티바이매니멀,서울 용산구 이태원로 140-1,수요미식회,37.5339943612066,126.989458885574
왕타이,서울 용산구 이태원로 151,수요미식회,37.5344734390401,126.990719103053
마라,서울 용산구 이태원로 243,수요미식회,37.5368027102701,127.000015614034
바다식당,서울 용산구 이태원로 245,수요미식회,37.5369083075217,127.000040053449
나리의집,서울 용산구 이태원로 245,수요미식회,37.5369083075217,127.000040053449
브라이리퍼블릭,서울 용산구 이태원로14길 19,수요미식회,37.5335466747814,126.99078664949
바토스 이태원점,서울 용산구 이태원로15길 1,수요미식회,37.5345949396719,126.990170576357
이태원양꼬치,서울 용산구 이태원로20길 22,수요미식회,37.5333784663622,126.99215113861
키에리,서울 용산구 이태원로26길 16-8,수요미식회,37.5333695203629,126.993181957985
치즈플로,서울 용산구 이태원로49길 19,수요미식회,37.5369807466515,126.999442645539
현대본가,서울 용산구 이태원로4길 24,수요미식회,37.5335057204785,126.975359197176
한남동자리,서울 용산구 이태원로54길 5-5,수요미식회,37.5380273294213,127.002205688127
부자피자 1호점,서울 용산구 이태원로55가길 28,수요미식회,37.537264562943,126.999802560451
다츠,서울 용산구 이태원로55나길 6,수요미식회,37.5366661151313,126.99909563226
종점숯불갈비,서울 용산구 장문로 112,수요미식회,37.5263959488037,127.001963927361
양평매운탕,서울 용산구 청파로 329,수요미식회,37.5490154875603,126.969746042406
평양집,서울 용산구 한강대로 186,수요미식회,37.5348564728986,126.973968347862
코요테살룬,서울 용산구 한강대로14가길 24,수요미식회,37.5237997380883,126.964601097248
옛집,서울 용산구 한강대로62길 26,수요미식회,37.5337916177652,126.973330039168
카카오봄,서울 용산구 한강대로62길 45-11,수요미식회,37.5327681862498,126.973801967279
대원식당,서울 용산구 한강대로62나길 16-1,수요미식회,37.5343464871621,126.974708922854
봉산집 본점,서울 용산구 한강대로62나길 24,수요미식회,37.5344370108951,126.975006002123
두에꼬제 한남점,서울 용산구 한남대로 60,수요미식회,37.5344843315796,127.008192362263
아티장베이커스 한남점,서울 용산구 한남대로18길 26,수요미식회,37.5345416023909,127.008652855488
모이,서울 용산구 한남대로18길 34,수요미식회,37.534773846086,127.009109184452
오만지아,서울 용산구 한남동 274-13,수요미식회,37.5339726161839,127.009855590655
비스테까,서울 용산구 회나무로 49,수요미식회,37.5400791131709,126.992093295467
일미집,서울 용산구 후암로 1-1,수요미식회,37.5461484932303,126.978268548767
군자네고등어김치찜,서울 마포구 대흥로 53,수요미식회,37.5455249388872,126.939521613739
맛이차이나,서울 마포구 독막로 68,수요미식회,37.5475998077326,126.920858592344
